,host_is_superhost,zipcode,bathrooms,bedrooms,beds,bed_type_Real Bed,bed_type_Futon,bed_type_Couch,bed_type_Pull-out Sofa,bed_type_Airbed,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability_1,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable_1,instant_bookable_0,cancellation_policy_strict_14_with_grace_period,cancellation_policy_moderate,cancellation_policy_flexible,cancellation_policy_super_strict_60,cancellation_policy_super_strict_30,cancellation_policy_strict,require_guest_profile_picture_0,require_guest_profile_picture_1,require_guest_phone_verification_0,require_guest_phone_verification_1,calculated_host_listings_count,reviews_per_month,latitude,longitude,host_days,first_review_days,last_review_days,avg_price
861,1.0,98122.0,1.0,2.0,2.0,1,0,0,0,0,185.0,0.0,50.0,1,0.0,2,30,1,22,46,76,106,13,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,1,0,0,0,1,0,1,0,1,3.39,47.61708,-122.28956000000001,706.0,112.0,10.0,139.88920725883477
862,0.0,98122.0,1.0,1.0,3.0,1,0,0,0,0,146.0,0.0,40.0,2,10.0,1,1125,1,17,24,24,24,11,95.0,9.0,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0,0,0,0,1,0,1,0,3,1.9,47.618520000000004,-122.32327,1651.0,171.0,10.0,139.88920725883477
863,0.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,250.0,200.0,55.0,1,0.0,2,12,1,27,53,70,70,21,91.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0,1,0,0,0,0,0,1,0,1,0,39,4.09,47.61838,-122.32558999999999,3109.0,151.0,32.0,139.88920725883477
864,0.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,250.0,200.0,55.0,1,0.0,1,12,1,15,42,59,59,18,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,0,0,0,0,1,0,1,0,39,3.46,47.61887,-122.3252,3109.0,153.0,15.0,139.88920725883477
865,0.0,98122.0,5.0,1.0,1.0,1,0,0,0,0,125.0,0.0,50.0,1,0.0,2,30,1,27,57,87,177,3,93.0,10.0,9.0,9.0,9.0,9.0,9.0,0,1,1,0,0,0,0,0,1,0,1,0,12,0.55,47.617779999999996,-122.30833999999999,2087.0,162.0,79.0,139.88920725883477
866,0.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,250.0,200.0,55.0,1,0.0,2,12,1,5,26,43,43,29,94.0,10.0,10.0,9.0,10.0,10.0,9.0,1,0,1,0,0,0,0,0,1,0,1,0,39,5.4,47.61735,-122.32598,3109.0,158.0,16.0,139.88920725883477
867,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,178.0,500.0,410.0,1,0.0,30,1125,1,30,60,90,365,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.62192,-122.33541000000001,1479.0,442.0,4.0,139.88920725883477
868,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,180.0,500.0,410.0,1,0.0,30,1125,1,29,59,89,364,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.62337,-122.33393999999998,1479.0,442.0,4.0,139.88920725883477
869,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,182.0,500.0,410.0,1,0.0,30,1125,1,29,59,89,364,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.62271,-122.3336,1479.0,442.0,4.0,139.88920725883477
870,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,182.0,500.0,410.0,1,0.0,30,1125,1,29,59,89,364,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.62242,-122.33533999999999,1479.0,442.0,4.0,139.88920725883477
871,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,182.0,500.0,410.0,1,0.0,30,1125,1,29,59,89,364,1,80.0,10.0,8.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.623509999999996,-122.33402,1479.0,27.0,29.0,139.88920725883477
872,1.0,98122.0,1.5,2.0,2.0,1,0,0,0,0,156.0,500.0,385.0,1,0.0,30,1125,1,0,26,56,331,1,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,1,0,0,0,0,0,1,1,0,1,0,237,0.22,47.63312,-122.32647,1479.0,133.0,135.0,139.88920725883477
873,1.0,98122.0,2.5,3.0,5.0,1,0,0,0,0,347.0,1000.0,173.0,6,29.0,1,365,1,14,28,48,319,14,93.0,9.0,9.0,9.0,10.0,9.0,9.0,1,0,1,0,0,0,0,0,1,0,1,0,40,3.47,47.61383,-122.31026999999999,1404.0,118.0,4.0,139.88920725883477
874,1.0,98122.0,1.0,1.0,2.0,1,0,0,0,0,160.0,0.0,10.0,4,0.0,1,1125,1,19,49,79,121,37,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,0,0,0,0,1,0,1,0,13,7.12,47.60562,-122.3208,2499.0,153.0,6.0,139.88920725883477
875,0.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,120.0,0.0,10.0,1,0.0,2,5,1,5,5,5,5,5,100.0,10.0,8.0,10.0,10.0,10.0,10.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0.97,47.61003,-122.31138,2319.0,151.0,80.0,139.88920725883477
876,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,109.0,500.0,300.0,1,0.0,30,1125,1,14,14,14,248,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.60338,-122.32021,1479.0,442.0,4.0,139.88920725883477
877,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,149.0,500.0,410.0,1,0.0,30,1125,1,0,0,19,294,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.6015,-122.3211,1479.0,442.0,4.0,139.88920725883477
878,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,100.0,500.0,300.0,1,0.0,30,1125,1,0,5,35,310,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.60138,-122.31997,1479.0,442.0,4.0,139.88920725883477
879,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,100.0,500.0,300.0,1,0.0,30,1125,1,6,6,7,266,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.603429999999996,-122.32125,1479.0,442.0,4.0,139.88920725883477
880,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,156.0,500.0,410.0,1,0.0,30,1125,1,20,50,80,355,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.60174,-122.32003,1479.0,442.0,4.0,139.88920725883477
881,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,149.0,100.0,45.0,1,10.0,1,60,1,30,60,90,270,28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0,0,0,0,1,0,1,0,8,5.53,47.61716,-122.32125,1259.0,149.0,25.0,139.88920725883477
882,1.0,98122.0,3.5,3.0,3.0,1,0,0,0,0,145.0,500.0,545.0,1,0.0,30,1125,1,0,20,50,325,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.67302,-122.38366,1479.0,442.0,4.0,139.88920725883477
883,0.0,98122.0,1.5,1.0,1.0,1,0,0,0,0,37.0,300.0,25.0,1,15.0,1,28,1,27,36,36,36,9,78.0,8.0,6.0,9.0,10.0,9.0,7.0,1,0,1,0,0,0,0,0,1,0,1,0,36,2.11,47.61547,-122.31626999999999,1755.0,125.0,76.0,139.88920725883477
884,0.0,98122.0,1.0,2.0,3.0,1,0,0,0,0,180.0,0.0,50.0,1,0.0,1,7,1,16,43,73,73,27,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1,0,1,0,0,0,0,1,0,1,0,117,6.81,47.60352,-122.29502,351.0,116.0,10.0,139.88920725883477
885,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,76.0,500.0,300.0,1,0.0,30,1125,1,18,48,78,353,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.647420000000004,-122.37785,1479.0,442.0,4.0,139.88920725883477
886,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,76.0,500.0,300.0,1,0.0,30,1125,1,21,51,81,356,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.64752,-122.37878,1479.0,442.0,4.0,139.88920725883477
887,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,92.0,500.0,300.0,1,0.0,30,1125,1,30,60,90,365,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.64699,-122.37907,1479.0,442.0,4.0,139.88920725883477
888,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,92.0,500.0,300.0,1,0.0,30,1125,1,27,57,87,362,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.647240000000004,-122.3775,1479.0,442.0,4.0,139.88920725883477
889,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,74.0,500.0,300.0,1,0.0,30,1125,1,0,0,0,241,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,0.58,47.64912,-122.37919,1479.0,49.0,51.0,139.88920725883477
890,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,76.0,500.0,300.0,1,0.0,30,1125,1,2,16,46,321,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,0.39,47.64731,-122.37908999999999,1479.0,74.0,76.0,139.88920725883477
891,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,74.0,500.0,300.0,1,0.0,30,1125,1,30,60,90,365,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.64775,-122.37907,1479.0,442.0,4.0,139.88920725883477
892,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,76.0,500.0,300.0,1,0.0,30,1125,1,9,39,69,344,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.64898,-122.3787,1479.0,442.0,4.0,139.88920725883477
893,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,92.0,500.0,300.0,1,0.0,30,1125,1,24,54,84,359,1,80.0,10.0,10.0,6.0,4.0,8.0,6.0,0,1,0,0,0,0,0,1,1,0,1,0,237,0.53,47.64735,-122.37738,1479.0,54.0,56.0,139.88920725883477
894,1.0,98122.0,1.0,0.0,0.0,1,0,0,0,0,74.0,500.0,300.0,1,0.0,30,1125,1,7,37,67,342,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,0.42,47.64728,-122.37903999999999,1479.0,69.0,71.0,139.88920725883477
